# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.155
 8.8571      0.026         11.407
 8.7857      0.032         14.615
 8.7143      0.038         17.772
 8.6429      0.045         20.869
 8.5714      0.051         23.894
 8.5000      0.057         26.831
 8.4286      0.063         29.656
 8.3571      0.069         32.335
 8.2857      0.075         34.813
 8.2143      0.082         36.992
 8.1429      0.088         38.674
 8.0714      0.094         39.300
 8.0000      0.100         33.748
