# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          5.270
 8.8571      0.026          7.205
 8.7857      0.032          9.111
 8.7143      0.038         10.985
 8.6429      0.045         12.821
 8.5714      0.051         14.611
 8.5000      0.057         16.344
 8.4286      0.063         18.007
 8.3571      0.069         19.578
 8.2857      0.075         21.023
 8.2143      0.082         22.284
 8.1429      0.088         23.239
 8.0714      0.094         23.564
 8.0000      0.100         20.807
