# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.848
 8.8571      0.026         10.194
 8.7857      0.032         12.505
 8.7143      0.038         14.777
 8.6429      0.045         17.003
 8.5714      0.051         19.173
 8.5000      0.057         21.275
 8.4286      0.063         23.291
 8.3571      0.069         25.195
 8.2857      0.075         26.944
 8.2143      0.082         28.466
 8.1429      0.088         29.611
 8.0714      0.094         29.971
 8.0000      0.100         26.543
