# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.799
 8.8571      0.026         10.026
 8.7857      0.032         11.229
 8.7143      0.038         12.407
 8.6429      0.045         13.557
 8.5714      0.051         14.674
 8.5000      0.057         15.754
 8.4286      0.063         16.792
 8.3571      0.069         17.781
 8.2857      0.075         18.710
 8.2143      0.082         19.567
 8.1429      0.088         20.334
 8.0714      0.094         20.981
 8.0000      0.100         21.459
