# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.098
 8.8571      0.026         11.044
 8.7857      0.032         13.950
 8.7143      0.038         16.811
 8.6429      0.045         19.617
 8.5714      0.051         22.358
 8.5000      0.057         25.019
 8.4286      0.063         27.578
 8.3571      0.069         30.005
 8.2857      0.075         32.249
 8.2143      0.082         34.220
 8.1429      0.088         35.737
 8.0714      0.094         36.287
 8.0000      0.100         31.230
