# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.670
 8.8571      0.026         12.229
 8.7857      0.032         15.743
 8.7143      0.038         19.205
 8.6429      0.045         22.605
 8.5714      0.051         25.930
 8.5000      0.057         29.163
 8.4286      0.063         32.281
 8.3571      0.069         35.245
 8.2857      0.075         37.998
 8.2143      0.082         40.437
 8.1429      0.088         42.345
 8.0714      0.094         43.111
 8.0000      0.100         36.274
