# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.700
 8.8571      0.026          9.294
 8.7857      0.032         10.862
 8.7143      0.038         12.400
 8.6429      0.045         13.903
 8.5714      0.051         15.363
 8.5000      0.057         16.771
 8.4286      0.063         18.114
 8.3571      0.069         19.373
 8.2857      0.075         20.518
 8.2143      0.082         21.498
 8.1429      0.088         22.211
 8.0714      0.094         22.402
 8.0000      0.100         20.794
