# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.101
 8.8571      0.026         12.916
 8.7857      0.032         16.683
 8.7143      0.038         20.395
 8.6429      0.045         24.043
 8.5714      0.051         27.611
 8.5000      0.057         31.084
 8.4286      0.063         34.434
 8.3571      0.069         37.623
 8.2857      0.075         40.589
 8.2143      0.082         43.222
 8.1429      0.088         45.294
 8.0714      0.094         46.150
 8.0000      0.100         38.555
