# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.856
 8.8571      0.026          9.508
 8.7857      0.032         11.134
 8.7143      0.038         12.728
 8.6429      0.045         14.287
 8.5714      0.051         15.801
 8.5000      0.057         17.263
 8.4286      0.063         18.657
 8.3571      0.069         19.966
 8.2857      0.075         21.156
 8.2143      0.082         22.176
 8.1429      0.088         22.919
 8.0714      0.094         23.116
 8.0000      0.100         21.377
