# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.988
 8.8571      0.026          9.418
 8.7857      0.032         10.823
 8.7143      0.038         12.198
 8.6429      0.045         13.538
 8.5714      0.051         14.838
 8.5000      0.057         16.087
 8.4286      0.063         17.276
 8.3571      0.069         18.385
 8.2857      0.075         19.389
 8.2143      0.082         20.244
 8.1429      0.088         20.867
 8.0714      0.094         21.067
 8.0000      0.100         20.115
