# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         12.511
 8.7857      0.032         14.979
 8.7143      0.038         17.399
 8.6429      0.045         19.762
 8.5714      0.051         22.058
 8.5000      0.057         24.272
 8.4286      0.063         26.384
 8.3571      0.069         28.364
 8.2857      0.075         30.166
 8.2143      0.082         31.713
 8.1429      0.088         32.853
 8.0714      0.094         33.206
 8.0000      0.100         30.926
