# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.903
 8.8571      0.026          9.942
 8.7857      0.032         11.950
 8.7143      0.038         13.922
 8.6429      0.045         15.852
 8.5714      0.051         17.732
 8.5000      0.057         19.550
 8.4286      0.063         21.289
 8.3571      0.069         22.927
 8.2857      0.075         24.427
 8.2143      0.082         25.722
 8.1429      0.088         26.683
 8.0714      0.094         26.959
 8.0000      0.100         24.324
