# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.088
 8.8571      0.026          9.618
 8.7857      0.032         11.123
 8.7143      0.038         12.599
 8.6429      0.045         14.040
 8.5714      0.051         15.439
 8.5000      0.057         16.787
 8.4286      0.063         18.073
 8.3571      0.069         19.276
 8.2857      0.075         20.368
 8.2143      0.082         21.299
 8.1429      0.088         21.974
 8.0714      0.094         22.152
 8.0000      0.100         20.715
