# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.937
 8.8571      0.026         10.465
 8.7857      0.032         12.958
 8.7143      0.038         15.409
 8.6429      0.045         17.812
 8.5714      0.051         20.156
 8.5000      0.057         22.428
 8.4286      0.063         24.610
 8.3571      0.069         26.673
 8.2857      0.075         28.573
 8.2143      0.082         30.232
 8.1429      0.088         31.489
 8.0714      0.094         31.904
 8.0000      0.100         27.977
