# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.119
 8.8571      0.026         11.068
 8.7857      0.032         13.978
 8.7143      0.038         16.842
 8.6429      0.045         19.651
 8.5714      0.051         22.396
 8.5000      0.057         25.060
 8.4286      0.063         27.623
 8.3571      0.069         30.052
 8.2857      0.075         32.299
 8.2143      0.082         34.274
 8.1429      0.088         35.793
 8.0714      0.094         36.344
 8.0000      0.100         31.269
