# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.041
 8.8571      0.026         10.727
 8.7857      0.032         13.375
 8.7143      0.038         15.978
 8.6429      0.045         18.529
 8.5714      0.051         21.017
 8.5000      0.057         23.427
 8.4286      0.063         25.739
 8.3571      0.069         27.924
 8.2857      0.075         29.935
 8.2143      0.082         31.688
 8.1429      0.088         33.015
 8.0714      0.094         33.453
 8.0000      0.100         29.478
