# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.665
 8.8571      0.026         10.743
 8.7857      0.032         13.781
 8.7143      0.038         16.772
 8.6429      0.045         19.708
 8.5714      0.051         22.578
 8.5000      0.057         25.366
 8.4286      0.063         28.051
 8.3571      0.069         30.601
 8.2857      0.075         32.964
 8.2143      0.082         35.050
 8.1429      0.088         36.670
 8.0714      0.094         37.294
 8.0000      0.100         31.704
