# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.988
 8.8571      0.026          9.448
 8.7857      0.032         10.881
 8.7143      0.038         12.285
 8.6429      0.045         13.653
 8.5714      0.051         14.979
 8.5000      0.057         16.255
 8.4286      0.063         17.467
 8.3571      0.069         18.600
 8.2857      0.075         19.625
 8.2143      0.082         20.499
 8.1429      0.088         21.137
 8.0714      0.094         21.344
 8.0000      0.100         20.376
