# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.873
 8.8571      0.026         10.184
 8.7857      0.032         12.462
 8.7143      0.038         14.702
 8.6429      0.045         16.895
 8.5714      0.051         19.033
 8.5000      0.057         21.104
 8.4286      0.063         23.090
 8.3571      0.069         24.964
 8.2857      0.075         26.686
 8.2143      0.082         28.183
 8.1429      0.088         29.307
 8.0714      0.094         29.657
 8.0000      0.100         26.315
