# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.906
 8.8571      0.026         10.321
 8.7857      0.032         12.702
 8.7143      0.038         15.043
 8.6429      0.045         17.336
 8.5714      0.051         19.573
 8.5000      0.057         21.739
 8.4286      0.063         23.818
 8.3571      0.069         25.783
 8.2857      0.075         27.589
 8.2143      0.082         29.162
 8.1429      0.088         30.349
 8.0714      0.094         30.728
 8.0000      0.100         27.121
