# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.133
 8.8571      0.026         12.942
 8.7857      0.032         16.705
 8.7143      0.038         20.412
 8.6429      0.045         24.053
 8.5714      0.051         27.616
 8.5000      0.057         31.081
 8.4286      0.063         34.424
 8.3571      0.069         37.605
 8.2857      0.075         40.562
 8.2143      0.082         43.186
 8.1429      0.088         45.246
 8.0714      0.094         46.090
 8.0000      0.100         38.593
