# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.856
 8.8571      0.026          9.657
 8.7857      0.032         11.430
 8.7143      0.038         13.170
 8.6429      0.045         14.871
 8.5714      0.051         16.526
 8.5000      0.057         18.124
 8.4286      0.063         19.651
 8.3571      0.069         21.085
 8.2857      0.075         22.394
 8.2143      0.082         23.518
 8.1429      0.088         24.343
 8.0714      0.094         24.567
 8.0000      0.100         22.502
