# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.070
 8.8571      0.026         10.964
 8.7857      0.032         13.819
 8.7143      0.038         16.629
 8.6429      0.045         19.386
 8.5714      0.051         22.078
 8.5000      0.057         24.691
 8.4286      0.063         27.204
 8.3571      0.069         29.586
 8.2857      0.075         31.788
 8.2143      0.082         33.722
 8.1429      0.088         35.208
 8.0714      0.094         35.742
 8.0000      0.100         30.807
