# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.354
 8.8571      0.026         12.374
 8.7857      0.032         16.345
 8.7143      0.038         20.260
 8.6429      0.045         24.107
 8.5714      0.051         27.873
 8.5000      0.057         31.539
 8.4286      0.063         35.078
 8.3571      0.069         38.451
 8.2857      0.075         41.594
 8.2143      0.082         44.393
 8.1429      0.088         46.612
 8.0714      0.094         47.576
 8.0000      0.100         39.344
