# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.003
 8.8571      0.026         10.445
 8.7857      0.032         12.852
 8.7143      0.038         15.219
 8.6429      0.045         17.539
 8.5714      0.051         19.801
 8.5000      0.057         21.993
 8.4286      0.063         24.096
 8.3571      0.069         26.084
 8.2857      0.075         27.913
 8.2143      0.082         29.507
 8.1429      0.088         30.711
 8.0714      0.094         31.097
 8.0000      0.100         27.397
