# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.851
 8.8571      0.026         10.186
 8.7857      0.032         12.487
 8.7143      0.038         14.750
 8.6429      0.045         16.966
 8.5714      0.051         19.127
 8.5000      0.057         21.219
 8.4286      0.063         23.226
 8.3571      0.069         25.122
 8.2857      0.075         26.863
 8.2143      0.082         28.378
 8.1429      0.088         29.517
 8.0714      0.094         29.874
 8.0000      0.100         26.470
