# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.061
 8.8571      0.026         11.168
 8.7857      0.032         14.234
 8.7143      0.038         17.252
 8.6429      0.045         20.214
 8.5714      0.051         23.108
 8.5000      0.057         25.919
 8.4286      0.063         28.624
 8.3571      0.069         31.191
 8.2857      0.075         33.567
 8.2143      0.082         35.661
 8.1429      0.088         37.280
 8.0714      0.094         37.887
 8.0000      0.100         32.391
