# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.480
 8.8571      0.026         10.540
 8.7857      0.032         13.544
 8.7143      0.038         16.486
 8.6429      0.045         19.356
 8.5714      0.051         22.142
 8.5000      0.057         24.830
 8.4286      0.063         27.399
 8.3571      0.069         29.821
 8.2857      0.075         32.052
 8.2143      0.082         34.026
 8.1429      0.088         35.622
 8.0714      0.094         36.578
 8.0000      0.100         36.036
