# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.224
 8.8571      0.026         12.567
 8.7857      0.032         16.862
 8.7143      0.038         21.100
 8.6429      0.045         25.272
 8.5714      0.051         29.363
 8.5000      0.057         33.354
 8.4286      0.063         37.219
 8.3571      0.069         40.917
 8.2857      0.075         44.383
 8.2143      0.082         47.501
 8.1429      0.088         50.026
 8.0714      0.094         51.251
 8.0000      0.100         41.122
