# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.040
 8.8571      0.026         10.911
 8.7857      0.032         13.743
 8.7143      0.038         16.530
 8.6429      0.045         19.263
 8.5714      0.051         21.933
 8.5000      0.057         24.525
 8.4286      0.063         27.017
 8.3571      0.069         29.379
 8.2857      0.075         31.562
 8.2143      0.082         33.480
 8.1429      0.088         34.952
 8.0714      0.094         35.479
 8.0000      0.100         30.600
