# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.778
 8.8571      0.026         12.620
 8.7857      0.032         16.414
 8.7143      0.038         20.152
 8.6429      0.045         23.825
 8.5714      0.051         27.419
 8.5000      0.057         30.915
 8.4286      0.063         34.288
 8.3571      0.069         37.498
 8.2857      0.075         40.485
 8.2143      0.082         43.136
 8.1429      0.088         45.223
 8.0714      0.094         46.092
 8.0000      0.100         38.482
