# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.043
 8.8571      0.026         10.982
 8.7857      0.032         13.882
 8.7143      0.038         16.736
 8.6429      0.045         19.536
 8.5714      0.051         22.271
 8.5000      0.057         24.926
 8.4286      0.063         27.479
 8.3571      0.069         29.901
 8.2857      0.075         32.140
 8.2143      0.082         34.108
 8.1429      0.088         35.622
 8.0714      0.094         36.172
 8.0000      0.100         31.117
