# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.477
 8.8571      0.026         11.977
 8.7857      0.032         15.433
 8.7143      0.038         18.837
 8.6429      0.045         22.180
 8.5714      0.051         25.448
 8.5000      0.057         28.627
 8.4286      0.063         31.690
 8.3571      0.069         34.602
 8.2857      0.075         37.307
 8.2143      0.082         39.700
 8.1429      0.088         41.571
 8.0714      0.094         42.318
 8.0000      0.100         35.664
