# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.218
 8.8571      0.026         11.530
 8.7857      0.032         14.800
 8.7143      0.038         18.020
 8.6429      0.045         21.181
 8.5714      0.051         24.272
 8.5000      0.057         27.276
 8.4286      0.063         30.171
 8.3571      0.069         32.921
 8.2857      0.075         35.473
 8.2143      0.082         37.729
 8.1429      0.088         39.486
 8.0714      0.094         40.176
 8.0000      0.100         33.995
