# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.556
 8.8571      0.026         12.191
 8.7857      0.032         15.781
 8.7143      0.038         19.319
 8.6429      0.045         22.794
 8.5714      0.051         26.193
 8.5000      0.057         29.500
 8.4286      0.063         32.689
 8.3571      0.069         35.724
 8.2857      0.075         38.546
 8.2143      0.082         41.049
 8.1429      0.088         43.015
 8.0714      0.094         43.822
 8.0000      0.100         36.690
