# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.661
 8.8571      0.026          8.916
 8.7857      0.032         10.148
 8.7143      0.038         11.354
 8.6429      0.045         12.530
 8.5714      0.051         13.671
 8.5000      0.057         14.768
 8.4286      0.063         15.811
 8.3571      0.069         16.785
 8.2857      0.075         17.666
 8.2143      0.082         18.414
 8.1429      0.088         18.954
 8.0714      0.094         19.110
 8.0000      0.100         18.190
