# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.458
 8.8571      0.026          9.871
 8.7857      0.032         12.249
 8.7143      0.038         14.588
 8.6429      0.045         16.881
 8.5714      0.051         19.117
 8.5000      0.057         21.285
 8.4286      0.063         23.366
 8.3571      0.069         25.334
 8.2857      0.075         27.146
 8.2143      0.082         28.727
 8.1429      0.088         29.926
 8.0714      0.094         30.323
 8.0000      0.100         26.606
