# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.872
 8.8571      0.026          9.450
 8.7857      0.032         11.001
 8.7143      0.038         12.523
 8.6429      0.045         14.010
 8.5714      0.051         15.454
 8.5000      0.057         16.847
 8.4286      0.063         18.175
 8.3571      0.069         19.420
 8.2857      0.075         20.551
 8.2143      0.082         21.518
 8.1429      0.088         22.221
 8.0714      0.094         22.407
 8.0000      0.100         20.829
