# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.728
 8.8571      0.026          9.288
 8.7857      0.032         10.826
 8.7143      0.038         12.338
 8.6429      0.045         13.819
 8.5714      0.051         15.264
 8.5000      0.057         16.663
 8.4286      0.063         18.005
 8.3571      0.069         19.272
 8.2857      0.075         20.434
 8.2143      0.082         21.440
 8.1429      0.088         22.187
 8.0714      0.094         22.387
 8.0000      0.100         19.993
