# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.856
 8.8571      0.026         10.440
 8.7857      0.032         12.989
 8.7143      0.038         15.495
 8.6429      0.045         17.951
 8.5714      0.051         20.348
 8.5000      0.057         22.672
 8.4286      0.063         24.903
 8.3571      0.069         27.013
 8.2857      0.075         28.958
 8.2143      0.082         30.656
 8.1429      0.088         31.946
 8.0714      0.094         32.377
 8.0000      0.100         28.347
