# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.394
 8.8571      0.026         11.640
 8.7857      0.032         14.843
 8.7143      0.038         17.998
 8.6429      0.045         21.094
 8.5714      0.051         24.120
 8.5000      0.057         27.060
 8.4286      0.063         29.891
 8.3571      0.069         32.580
 8.2857      0.075         35.071
 8.2143      0.082         37.269
 8.1429      0.088         38.973
 8.0714      0.094         39.623
 8.0000      0.100         33.727
