# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.157
 8.8571      0.026         11.267
 8.7857      0.032         12.358
 8.7143      0.038         13.425
 8.6429      0.045         14.464
 8.5714      0.051         15.471
 8.5000      0.057         16.438
 8.4286      0.063         17.355
 8.3571      0.069         18.208
 8.2857      0.075         18.976
 8.2143      0.082         19.623
 8.1429      0.088         20.081
 8.0714      0.094         20.196
 8.0000      0.100         19.431
