# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.805
 8.8571      0.026          9.198
 8.7857      0.032         10.568
 8.7143      0.038         11.910
 8.6429      0.045         13.221
 8.5714      0.051         14.493
 8.5000      0.057         15.718
 8.4286      0.063         16.885
 8.3571      0.069         17.976
 8.2857      0.075         18.966
 8.2143      0.082         19.808
 8.1429      0.088         20.417
 8.0714      0.094         20.577
 8.0000      0.100         19.336
