# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.858
 8.8571      0.026         10.210
 8.7857      0.032         12.528
 8.7143      0.038         14.807
 8.6429      0.045         17.039
 8.5714      0.051         19.215
 8.5000      0.057         21.323
 8.4286      0.063         23.345
 8.3571      0.069         25.254
 8.2857      0.075         27.009
 8.2143      0.082         28.536
 8.1429      0.088         29.684
 8.0714      0.094         30.046
 8.0000      0.100         26.606
