# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.810
 8.8571      0.026         12.927
 8.7857      0.032         16.992
 8.7143      0.038         20.996
 8.6429      0.045         24.929
 8.5714      0.051         28.774
 8.5000      0.057         32.514
 8.4286      0.063         36.118
 8.3571      0.069         39.547
 8.2857      0.075         42.732
 8.2143      0.082         45.555
 8.1429      0.088         47.770
 8.0714      0.094         48.681
 8.0000      0.100         40.862
