# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.622
 8.8571      0.026         10.565
 8.7857      0.032         13.469
 8.7143      0.038         16.327
 8.6429      0.045         19.132
 8.5714      0.051         21.873
 8.5000      0.057         24.535
 8.4286      0.063         27.097
 8.3571      0.069         29.528
 8.2857      0.075         31.779
 8.2143      0.082         33.761
 8.1429      0.088         35.294
 8.0714      0.094         35.869
 8.0000      0.100         30.670
