# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.965
 8.8571      0.026         10.630
 8.7857      0.032         13.258
 8.7143      0.038         15.843
 8.6429      0.045         18.377
 8.5714      0.051         20.851
 8.5000      0.057         23.250
 8.4286      0.063         25.555
 8.3571      0.069         27.737
 8.2857      0.075         29.749
 8.2143      0.082         31.509
 8.1429      0.088         32.851
 8.0714      0.094         33.308
 8.0000      0.100         29.019
