# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.010
 8.8571      0.026         10.848
 8.7857      0.032         13.647
 8.7143      0.038         16.402
 8.6429      0.045         19.104
 8.5714      0.051         21.743
 8.5000      0.057         24.303
 8.4286      0.063         26.765
 8.3571      0.069         29.098
 8.2857      0.075         31.254
 8.2143      0.082         33.145
 8.1429      0.088         34.596
 8.0714      0.094         35.112
 8.0000      0.100         30.336
