# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.254
 8.8571      0.026         11.521
 8.7857      0.032         14.744
 8.7143      0.038         17.916
 8.6429      0.045         21.028
 8.5714      0.051         24.067
 8.5000      0.057         27.018
 8.4286      0.063         29.856
 8.3571      0.069         32.548
 8.2857      0.075         35.037
 8.2143      0.082         37.227
 8.1429      0.088         38.916
 8.0714      0.094         39.543
 8.0000      0.100         33.960
