# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.480
 8.8571      0.026         10.526
 8.7857      0.032         13.516
 8.7143      0.038         16.444
 8.6429      0.045         19.300
 8.5714      0.051         22.074
 8.5000      0.057         24.748
 8.4286      0.063         27.304
 8.3571      0.069         29.711
 8.2857      0.075         31.927
 8.2143      0.082         33.883
 8.1429      0.088         35.454
 8.0714      0.094         36.371
 8.0000      0.100         35.720
