# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.984
 8.8571      0.026         11.610
 8.7857      0.032         15.191
 8.7143      0.038         18.720
 8.6429      0.045         22.187
 8.5714      0.051         25.579
 8.5000      0.057         28.881
 8.4286      0.063         32.066
 8.3571      0.069         35.098
 8.2857      0.075         37.921
 8.2143      0.082         40.428
 8.1429      0.088         42.406
 8.0714      0.094         43.239
 8.0000      0.100         36.012
