# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.871
 8.8571      0.026         10.185
 8.7857      0.032         12.465
 8.7143      0.038         14.706
 8.6429      0.045         16.901
 8.5714      0.051         19.041
 8.5000      0.057         21.114
 8.4286      0.063         23.101
 8.3571      0.069         24.977
 8.2857      0.075         26.701
 8.2143      0.082         28.199
 8.1429      0.088         29.325
 8.0714      0.094         29.675
 8.0000      0.100         26.330
