# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          5.380
 8.8571      0.026          7.329
 8.7857      0.032          9.250
 8.7143      0.038         11.141
 8.6429      0.045         12.995
 8.5714      0.051         14.804
 8.5000      0.057         16.559
 8.4286      0.063         18.246
 8.3571      0.069         19.842
 8.2857      0.075         21.316
 8.2143      0.082         22.607
 8.1429      0.088         23.594
 8.0714      0.094         23.940
 8.0000      0.100         20.800
