# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.937
 8.8571      0.026         10.503
 8.7857      0.032         13.034
 8.7143      0.038         15.523
 8.6429      0.045         17.962
 8.5714      0.051         20.342
 8.5000      0.057         22.650
 8.4286      0.063         24.866
 8.3571      0.069         26.962
 8.2857      0.075         28.894
 8.2143      0.082         30.581
 8.1429      0.088         31.861
 8.0714      0.094         32.288
 8.0000      0.100         28.263
