# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.757
 8.8571      0.026         11.845
 8.7857      0.032         12.912
 8.7143      0.038         13.954
 8.6429      0.045         14.967
 8.5714      0.051         15.946
 8.5000      0.057         16.885
 8.4286      0.063         17.773
 8.3571      0.069         18.598
 8.2857      0.075         19.340
 8.2143      0.082         19.967
 8.1429      0.088         20.425
 8.0714      0.094         20.597
 8.0000      0.100         20.166
