# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.930
 8.8571      0.026         10.760
 8.7857      0.032         13.551
 8.7143      0.038         16.298
 8.6429      0.045         18.992
 8.5714      0.051         21.623
 8.5000      0.057         24.177
 8.4286      0.063         26.632
 8.3571      0.069         28.959
 8.2857      0.075         31.109
 8.2143      0.082         32.996
 8.1429      0.088         34.445
 8.0714      0.094         34.962
 8.0000      0.100         30.186
