# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.873
 8.8571      0.026         10.220
 8.7857      0.032         12.533
 8.7143      0.038         14.806
 8.6429      0.045         17.034
 8.5714      0.051         19.206
 8.5000      0.057         21.309
 8.4286      0.063         23.326
 8.3571      0.069         25.231
 8.2857      0.075         26.982
 8.2143      0.082         28.505
 8.1429      0.088         29.650
 8.0714      0.094         30.010
 8.0000      0.100         26.580
