# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.041
 8.8571      0.026         10.957
 8.7857      0.032         13.834
 8.7143      0.038         16.665
 8.6429      0.045         19.442
 8.5714      0.051         22.154
 8.5000      0.057         24.787
 8.4286      0.063         27.318
 8.3571      0.069         29.717
 8.2857      0.075         31.935
 8.2143      0.082         33.882
 8.1429      0.088         35.377
 8.0714      0.094         35.915
 8.0000      0.100         30.978
