# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.396
 8.8571      0.026         15.997
 8.7857      0.032         19.552
 8.7143      0.038         23.055
 8.6429      0.045         26.496
 8.5714      0.051         29.861
 8.5000      0.057         33.134
 8.4286      0.063         36.288
 8.3571      0.069         39.287
 8.2857      0.075         42.068
 8.2143      0.082         44.526
 8.1429      0.088         46.431
 8.0714      0.094         47.138
 8.0000      0.100         40.093
