# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.621
 8.8571      0.026         12.333
 8.7857      0.032         16.000
 8.7143      0.038         19.613
 8.6429      0.045         23.162
 8.5714      0.051         26.634
 8.5000      0.057         30.012
 8.4286      0.063         33.271
 8.3571      0.069         36.372
 8.2857      0.075         39.257
 8.2143      0.082         41.817
 8.1429      0.088         43.830
 8.0714      0.094         44.662
 8.0000      0.100         37.335
