# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.012
 8.8571      0.026         10.802
 8.7857      0.032         13.553
 8.7143      0.038         16.257
 8.6429      0.045         18.908
 8.5714      0.051         21.494
 8.5000      0.057         24.001
 8.4286      0.063         26.407
 8.3571      0.069         28.683
 8.2857      0.075         30.780
 8.2143      0.082         32.611
 8.1429      0.088         34.004
 8.0714      0.094         34.476
 8.0000      0.100         30.207
