# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.020
 8.8571      0.026          8.411
 8.7857      0.032          9.783
 8.7143      0.038         11.133
 8.6429      0.045         12.458
 8.5714      0.051         13.750
 8.5000      0.057         15.004
 8.4286      0.063         16.208
 8.3571      0.069         17.346
 8.2857      0.075         18.394
 8.2143      0.082         19.307
 8.1429      0.088         19.990
 8.0714      0.094         20.184
 8.0000      0.100         17.840
