# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.318
 8.8571      0.026         11.967
 8.7857      0.032         15.569
 8.7143      0.038         19.116
 8.6429      0.045         22.598
 8.5714      0.051         26.003
 8.5000      0.057         29.311
 8.4286      0.063         32.498
 8.3571      0.069         35.526
 8.2857      0.075         38.335
 8.2143      0.082         40.819
 8.1429      0.088         42.756
 8.0714      0.094         43.526
 8.0000      0.100         36.819
