# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.568
 8.8571      0.026         12.269
 8.7857      0.032         15.925
 8.7143      0.038         19.528
 8.6429      0.045         23.068
 8.5714      0.051         26.531
 8.5000      0.057         29.901
 8.4286      0.063         33.153
 8.3571      0.069         36.248
 8.2857      0.075         39.128
 8.2143      0.082         41.686
 8.1429      0.088         43.700
 8.0714      0.094         44.539
 8.0000      0.100         37.161
